iter	RMSE
811	2320747.291
812	2320733.625
813	2320706.133
814	2320674.021
815	2320607.876
816	2320570.352
817	2320559.503
818	2320521.886
819	2320520.127
820	2320504.87
821	2320492.063
822	2320477.465
823	2320453.17
824	2320443.331
825	2320441.305
826	2320396.917
827	2320363.155
828	2320348.439
829	2320323.042
830	2320321.632
831	2320319.534
832	2320297.047
833	2320285.449
834	2320263.758
835	2320239.381
836	2320237.353
837	2320227.545
838	2320218.244
839	2320216.979
840	2320177.016
841	2320164.102
842	2320130.311
843	2320114.902
844	2320080.756
845	2320079.649
846	2320054.085
847	2320017.492
848	2320007.27
849	2320004.92
850	2319983.435
851	2319981.822
852	2319980.088
853	2319965.723
854	2319907.558
855	2319906.187
856	2319877.805
857	2319853.33
858	2319824.45
859	2319820.935
860	2319801.311
861	2319750.83
862	2319718.296
863	2319687.719
864	2319682.207
865	2319672.577
866	2319668.633
867	2319663.995
868	2319657.154
869	2319626.237
870	2319595.111
871	2319552.451
872	2319533.664
873	2319526.805
874	2319523.464
875	2319514.631
876	2319513.468
877	2319512.911
878	2319488.792
879	2319478.555
880	2319438.667
881	2319430.23
882	2319421.911
883	2319421.117
884	2319405.533
885	2319374.593
886	2319345.212
887	2319315.239
888	2319292.691
889	2319284.753
890	2319275.155
891	2319251.301
892	2319245.787
893	2319203.324
894	2319193.796
895	2319158.868
896	2319150.954
897	2319114.731
898	2319102.469
899	2319095.127
900	2319090.661
901	2319087.561
902	2319074.548
903	2319039.114
904	2319031.639
905	2319001.57
906	2318959.461
907	2318958.212
908	2318947.373
909	2318932.966
910	2318932.095
911	2318929.917
912	2318923.832
913	2318899.195
914	2318871.345
915	2318835.691
916	2318829.928
917	2318801.443
918	2318796.052
919	2318791.587
920	2318790.362
921	2318789.255
922	2318787.803
923	2318784.821
924	2318751.044
925	2318720.131
926	2318718.857
927	2318701.851
928	2318698.133
929	2318679.963
930	2318660.41
931	2318658.912
932	2318633.089
933	2318614.331
934	2318590.14
935	2318578.585
